"Date","Volume","Cash","Trades","Bar Size","High","Low","Open","Close","Delta T/D","Delta Aggressor","H/L Side","O/C Side","O/C Size","Max Volume","M/V Price","M/V Trades","M/V Delta T/D","M/V Delta Aggressor","Max Trade","Hidden Volume","TPO High","TPO Low","COT High","COT Low","Max Delta T/D","Max Delta Aggressor"
"2021-10-01 00:00:00","597983548","264456673789","3917023","342","459,8","425,7","429,3","459,7","-23152886","-25673284","1","1","304","18208236","453,9","15361","-16077302","-16157856","-2000000","880028878","459,8","434,4","3534","-25591709","-16077302","-16157856"
"2021-09-01 00:00:00","672338860","297096244528","4515140","257","454,5","428,9","453,5","430,1","-8624714","-13608610","-1","-1","234","7084127","434,4","43639","-706977","-628141","-1400000","1021923600","446","429","-12827353","-2454821","-1971013","-2046547"
"2021-08-01 00:00:00","513207194","227880400858","3385968","191","453,5","434,5","441","452,4","3333738","-301596","1","1","114","11023448","442,5","67383","304730","222134","1000000","750748388","446,4","437,3","-1972721","-3542875","-1609661","-1748311"
"2021-07-01 00:00:00","576492038","250040767429","3887619","199","441,8","422","429,8","439,1","8946","-1700982","1","1","93","8536555","435,5","40889","-1798577","-1533783","-1395829","822752805","439,8","430,8","-1329822","-1484336","-1798577","1704969"
"2021-06-01 00:00:00","506022807","213773078946","3589055","161","428,9","412,9","421,6","428,9","-13235763","-15617477","1","1","73","12248339","422","54405","-4709583","-4935009","1800000","774613274","425,4","419","0","-12395321","-4709583","-4935009"
"2021-05-01 00:00:00","587838956","244070647239","4118591","204","423","402,7","419,1","420","-8398930","-10642156","-1","1","9","9804835","415,6","58246","-2067959","-2083755","-1857800","904782171","419,3","408,9","-7815401","-8610681","-2067959","-2083755"
"2021-04-01 00:00:00","527801225","217776158664","3394988","245","420,7","396,3","397,6","417,3","1888877","1820233","1","1","197","12205031","417,3","57816","2963045","3589811","1862645","905468052","418,4","410,6","1183152","1795376","2963045","3589811"
"2021-03-01 00:00:00","880480659","342824304802","5969997","321","403,9","371,9","385","396,7","-35244881","-40908823","1","1","117","12761379","389,6","64315","-2979275","-3237971","-2500000","1489223905","397,6","387,1","-10120886","-37405474","-4982615","-5139491"
"2021-02-01 00:00:00","523445286","202358779354","3421586","241","395,4","371,4","373,3","379,7","-10702564","-11507070","1","1","64","10228401","390,7","60894","-911365","-1256441","750000","763326741","393","383,5","-6251854","-11601100","-2277453","-2241873"
"2021-01-01 00:00:00","556816356","210072123245","3329428","212","385,9","364,8","375,7","369,3","5456236","4641610","1","-1","64","12755597","379,1","59887","2619109","2677515","-2500000","802449540","381,5","370,6","803519","4337556","5090120","5038798"
"2020-12-01 00:00:00","537777252","198221933873","3142131","168","374,7","358","365,2","374,4","-18851398","-17451352","1","1","92","17519689","369,4","56024","-9219695","-9412805","-2000000","875864402","370,4","365,4","755767","3375242","-9219695","-9412805"
"2020-11-01 00:00:00","623314973","220594050168","3937328","406","366,8","326,3","328,4","364,4","-22819603","-18095851","1","1","360","7764711","362,6","26128","-2440781","-2342751","-2500276","856622276","364,1","351,7","-11113452","-17499986","3600945","3704037"
"2020-10-01 00:00:00","657863815","223694151623","4112522","315","354","322,6","337,7","327,4","-5984633","-5413293","-1","-1","103","11639433","347,5","10801","9761887","9622491","-1534080","863311360","351,9","335,8","-2181064","-2540245","9761887","9622491"
"2020-09-01 00:00:00","1019820603","344850763454","6053808","390","358,7","319,8","351,3","336,1","-33209191","-27540891","-1","-1","152","10097639","333,9","50384","-1649241","-1586343","0","1541292238","349,3","330,8","-27281438","-999565","-3616612","-3717342"
"2020-08-01 00:00:00","866325253","293463689100","5349577","269","352,5","325,7","326,4","349,7","-10719213","-10907405","1","1","233","19640894","337,9","108532","261074","-255478","0","1185112349","339,7","327,5","-459375","-10912611","-3436992","-3522878"
